circuit,pre_id,pre_name,pre_side,pre_segment,post_id,post_name,post_side,post_segment,connector_id,synaptic_area
ORN-PN,3716797,45a ORN left,l,,7851153,82a PN left,l,,3734766,14830.943120131493
ORN-PN,3716797,45a ORN left,l,,7851153,82a PN left,l,,3736154,10124.530178097977
ORN-PN,3716797,45a ORN left,l,,7851153,82a PN left,l,,3764371,7982.726969719167
ORN-PN,3716797,45a ORN left,l,,7851153,82a PN left,l,,7460533,21112.27521243489
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733468,33344.11270310656
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733612,9110.547842726663
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733612,12442.512929058485
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733699,3083.1972626549523
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733699,11520.280822627852
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3733906,14832.83028034883
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3734001,61400.706560638115
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3734766,29699.04367789333
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3735595,35795.04553429666
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3735682,16950.718263576997
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3735867,18403.76808747661
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3735867,19115.41774281626
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3736154,6962.665457473047
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3736251,17281.748923493993
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3736251,42423.40689194665
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3736335,20506.585122013494
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3736647,35812.53812570251
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3737210,38898.04475012034
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3739965,28567.214569328895
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3739965,30278.713280720505
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3740246,39901.305182700075
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3742825,42842.10442183773
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3763690,33970.380505530324
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3763714,24138.22047211947
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3763759,17663.220508582395
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3763759,23008.20997112968
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764371,15195.403620576446
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764371,18372.773696786415
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764454,2912.12440099599
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764454,3567.16630819165
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764454,61325.64213394936
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764816,13695.929975798075
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764816,18164.437570970385
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,3764859,10210.881013710008
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,5005528,18343.737407071945
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,5261371,22334.466405656673
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,5261394,25742.961334806285
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,5261431,31446.56704913854
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,6094195,15464.78265429978
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,6501822,1803.255979668253
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,6501822,9362.027420035049
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,6603100,18323.112354768145
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7104716,17029.0953672485
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7459963,14811.676118108433
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7460533,23827.562345682323
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7460604,15550.652659669313
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7464326,9411.387792337997
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468120,15204.941155320583
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468120,31534.7568768414
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468149,21009.569881495594
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468161,44811.580019824934
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468258,29735.2845220492
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468434,5549.148546793707
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468434,7821.192684115977
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468463,13776.815691964855
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468463,16119.120903357198
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468463,16718.16214643685
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,7468463,19706.978093952453
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,8477534,1134.6308595939965
ORN-PN,3716797,45a ORN left,l,,7852250,45a PN left,l,,21930311,18357.49456721767
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5005655,14050.608407078442
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5224906,5471.185780372329
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5225403,18740.272326991595
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5225440,11844.724866933408
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5225746,5392.367285075761
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5225746,39673.75824139626
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5226044,5595.828607582348
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,5226044,16914.888238726042
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,6582079,5537.243084749192
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,6582079,22712.195222566304
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,7527875,5729.978138236459
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,8067492,5616.808652477898
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,8067492,5840.702259194295
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,8067551,7439.830751325466
ORN-PN,3774568,82a ORN left,l,,7851153,82a PN left,l,,8067586,21225.13742714278
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5225440,25242.303891530835
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5225456,10066.50536398027
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5225746,30579.7025761939
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5225983,10829.09673361668
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5226006,16851.658103334936
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5261714,43649.67683936435
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5261738,13710.66644348223
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5310314,23746.995598279347
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5310500,4423.123352391346
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,5310759,20696.363452447004
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,6112906,7740.404171370239
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,6582079,14301.801808522981
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,7528692,57050.070224969924
ORN-PN,3774568,82a ORN left,l,,7852250,45a PN left,l,,8067586,9226.189248414896
ORN-PN,3963891,45a ORN right,r,,8245146,82a PN right,r,,5218647,29504.304018991974
ORN-PN,3963891,45a ORN right,r,,8245146,82a PN right,r,,5290139,3072.391991877682
ORN-PN,3963891,45a ORN right,r,,8245146,82a PN right,r,,14995809,14299.05231034931
ORN-PN,3963891,45a ORN right,r,,8245146,82a PN right,r,,18167706,19680.65947510455
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4655032,13694.124022179207
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701252,14948.71461123788
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701288,3026.8553341032275
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701391,40708.18029172233
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701429,9056.330922919287
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701691,6945.576191653661
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701691,21969.394063116582
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701691,31822.954027301133
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701754,23123.965685712843
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701793,15876.394770677103
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701793,22226.642513264997
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701793,30118.60426750957
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701877,7443.887055758699
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701877,10791.61249602156
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701877,20900.55754169102
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701877,21255.45606986028
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701947,12896.53052112285
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4701947,25492.108713959624
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702027,25764.3853047929
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702195,16762.99750502582
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702276,47023.40255581145
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702334,12990.844972641367
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702334,26053.682747504085
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702488,9101.214130790711
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4702990,5581.150989285565
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4703050,15857.378964090472
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,4703114,28988.298051382022
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5119580,5360.349395608315
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5119580,8019.1657809833105
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5119580,17547.0327906906
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5218647,21569.1261078207
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5218825,40829.40822876285
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5218876,31213.099117562095
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5251049,10893.973137332678
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5251172,12213.865586978241
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5251172,24989.424295959834
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5287601,15258.032494806765
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5287892,4990.544810508228
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5287892,12301.637616901107
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5287892,17462.66738437773
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5290139,9523.34367479879
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5290139,16503.828762926612
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,5290139,26593.12591699911
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6489128,12822.297646440096
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6489394,38722.77139664405
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6490047,19292.28217419993
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6490191,32090.849323783015
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6490580,14730.795060997094
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6490580,16298.918488039097
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6490580,20128.680514634834
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,6491985,17185.574511352854
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7708962,4955.634279099802
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7709453,23811.1885260234
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710003,6172.613367600213
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710003,12113.153464592779
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710003,20116.573983788567
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710038,12981.104005744128
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710059,11959.811407115312
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710329,10711.1247206142
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710353,9559.273663679096
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710471,22849.181999763
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710471,25840.445338829086
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710677,5463.367129762013
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710677,9346.415219739865
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710772,21496.515054486514
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,7710842,31432.889231870795
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,10041052,21383.243292894364
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,10643691,20594.581578291643
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,14871901,5604.372651490759
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,14986462,2548.800747480302
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,14990023,6138.206921163787
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,14995809,8794.738818715696
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,15387856,8867.950231443274
ORN-PN,3963891,45a ORN right,r,,8247451,45a PN right,r,,17808526,5235.818386065062
