circuit,pre_id,pre_name,pre_side,pre_segment,post_id,post_name,post_side,post_segment,connector_id,synaptic_area
broad-PN,7941642,broad D2 left,l,,7851153,82a PN left,l,,6882678,3677.0764267352256
broad-PN,7941642,broad D2 left,l,,7851153,82a PN left,l,,6930862,6200.024707922806
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,3741629,12957.214088177228
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6496201,15784.095855836493
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6502457,7743.9572834563
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6762934,14920.651440883355
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6882222,16891.256864058283
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6882451,10265.670349064949
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6882678,7148.943520750218
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6882678,7244.934579864017
broad-PN,7941642,broad D2 left,l,,7852250,45a PN left,l,,6882779,9259.106880124178
broad-PN,7941652,broad D1 left,l,,7851153,82a PN left,l,,5222647,13076.039674640491
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,3741123,12373.938724252876
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,5261447,17766.053586075283
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,5310346,12944.231866998485
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,6878581,8672.367720947488
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,7856054,8419.076284148632
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,7857228,11648.724703962824
broad-PN,7941652,broad D1 left,l,,7852250,45a PN left,l,,19581607,10507.367400012508
broad-PN,8198416,broad D1 right,r,,8245146,82a PN right,r,,4656763,2466.9075724328636
broad-PN,8198416,broad D1 right,r,,8245146,82a PN right,r,,7710855,2313.100318835908
broad-PN,8198416,broad D1 right,r,,8245146,82a PN right,r,,15109835,5514.59721737011
broad-PN,8198416,broad D1 right,r,,8245146,82a PN right,r,,15214981,3577.5718512581507
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,4656763,6000.280710666147
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,4656763,11123.931595261442
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,7637669,15039.476412488228
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,7686496,11282.324784893912
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,7710719,12421.672199583661
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,7710855,4793.256442995202
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,10865216,14168.827475884935
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,14991479,32914.02276368374
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,14991535,11502.968149424813
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,14994554,15215.946794099487
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,15016363,7116.704037951546
broad-PN,8198416,broad D1 right,r,,8247451,45a PN right,r,,16617798,6422.550055159503
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,7624739,7162.62717768327
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,14672149,11074.723754749399
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,14701624,4974.392502342905
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,14929267,24325.98072124136
broad-PN,8198513,broad D2 right,r,,8245146,82a PN right,r,,14929736,8448.67972056874
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,4654782,13393.928800005726
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,7667905,12184.529842321626
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,7710533,17857.591174812045
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,7710902,9163.729416612663
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,10590547,7436.674411209884
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,10624603,10897.719795270332
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,10825224,5661.265083260794
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,14672149,9846.487710248897
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,14701624,2499.769029207524
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,14701624,9262.482288424726
broad-PN,8198513,broad D2 right,r,,8247451,45a PN right,r,,14972330,4246.467308171257
