Odor;Exp_ID;Concentration;Or33b_47a;Or45a;Or83a;Or35a;Or42a;Or59a;Or1a;Or45b;Or63a;Or24a;Or67b;Or85c;Or13a;Or30a;Or82a;Or22c;Or42b;Or33a;Or49a;Or74a;Or94a_94b
1-pentanol;201;1e-08;0;0.02321;0;0.05231;0;0;0;0;0;0;0;0;0.01828;0;0;0;0;0;0;0;0
1-pentanol;201;1e-07;0.08486;-0.08441;0;0.5135;0;0;0;0;0;0;-0.03699;0;0.1041;0;0;0;0;0;0;0;0
1-pentanol;201;1e-06;0.1454;-0.06472;0;3.3169;0;0;0;0;0;0;0.058;0;0.07153;0;0;0;0;0;0;0;0
1-pentanol;201;1e-05;0.2537;-0.08251;0;6.6304;0;0;0;0;0;0;1.2534;0;0.5692;0;0;0;0;0;0;0;0
1-pentanol;201;0.0001;1.3768;0.5223;0;6.892;0;0;0;0;0;0;5.0193;0;4.162;0;0;0;0;0;0;0;0
1-pentanol;301;1e-08;0.07277;0;0;0.4137;0;0;0;0;0;0;0.04208;0.1999;0.009584;0;0;0;0;0;0;0;0
1-pentanol;301;1e-07;0.06369;0;-0.1338;0.4595;0;0;0;0;0;0;0.07817;0.4958;0.09997;0;0;0;0;0;0;0;0
1-pentanol;301;1e-06;-0.1651;0;-0.07102;0.3948;0;0;0;0;0;0;0.09231;0.1229;0.3086;0;0;0;0;0;0;0;0
1-pentanol;301;1e-05;-0.1825;0;-0.01555;2.5051;0;0;0;0;0;0;1.2317;0.3234;0.359;0;0;0;0;0;0;0;0
1-pentanol;301;0.0001;0.2379;0;0.197;2.5146;0;0;0;0;0;0;4.0898;0.7283;3.5609;0;0;0;0;0;0;0;0
1-pentanol;401;1e-08;0;0;0;0;0;0;0;0;0;0;0.2537;0;0;0;0;0;0;0;0;0;0
1-pentanol;401;1e-07;0;0;0;-0.2301;0;0;0;0;0;0;0.4023;0;0;0;0;0;0;0;0;0;0
1-pentanol;401;1e-06;0;0;0;0.5382;0;0;0;0;0;0;0.2919;0;0;0;0;0;0;0;0;0;0
1-pentanol;401;1e-05;0;0;0;1.1416;0;0;0;0;0;0;0.5664;0;0;0;0;0;0;0;0;0;0
1-pentanol;401;0.0001;0;0;0;1.2224;0;0;0;0;0;0;0.2475;0;0;0;0;0;0;0;0;0;0
1-pentanol;501;1e-08;0;0;0;0;0;0;0;0;0;0;0.07984;0;0.1532;0;0;0;0.07982;0;0;0;0
1-pentanol;501;1e-07;-0.189;0;0;0.162;0;0;0;0;0;0;0.01067;0;0.08753;0;0;0;-0.01109;0;0;0;0
1-pentanol;501;1e-06;-0.2369;0;0;3.2294;0;0;0;0;0;0;0.09519;0;0.04001;0;0;0;-0.4269;0;0;0;0
1-pentanol;501;1e-05;-0.2932;0;0;4.6518;0;0;0;0;0;0;0.4565;0;1.2602;0;0;0;-0.4451;0;0;0;0
1-pentanol;501;0.0001;0.00042;0;0;4.3288;0;0;0;0;0;0;1.7856;0;3.5181;0;0;0;0.1058;0;0;0;0
1-pentanol;601;1e-08;0.04963;0;0;0.2041;0;0;0;0;0;0.4877;0.00202;0;0;0;0;0;0;0;0;0;0
1-pentanol;601;1e-07;0.2878;0;0;0.4091;0;0;0;0;0;0.363;-0.07047;0;-0.1695;0;0;0;-0.08608;0;0;0;0
1-pentanol;601;1e-06;0.1967;0;0;4.9115;0;0;0;0;0;0.1789;-0.04286;0;-0.1378;0;0;0;-0.04006;0;0;0;0
1-pentanol;601;1e-05;0.2812;0;0;5.8353;0;0;0;0;0;0.0687;0.411;0;0.09333;0;0;0;-0.03745;0;0;0;0
1-pentanol;601;0.0001;0.2559;0;0;5.5595;0;0;0;0;0;0.1398;6.2625;0;2.4168;0;0;0;0.1898;0;0;0;0
1-pentanol;802;1e-08;0.02161;0;0;0.01209;0;0;0;0;0;0;0.2296;0;0.09978;0;0;0;0;0;0;0;0
1-pentanol;802;1e-07;-0.01914;0;0;0.2448;0;0;0;0;0;0;0.2111;0;0.1763;0;0;0;0;0;0;0;0
1-pentanol;802;1e-06;-0.008731;0;0;2.3903;0;0;0;0;0;0;0.2767;0;0.1882;0;0;0;0;0;0;0;0
1-pentanol;802;1e-05;0.2355;0;0;6.0639;0;0;0;0;0;0;0.3869;0;0.6258;0;0;0;0;0;0;0;0
1-pentanol;802;0.0001;1.1318;0;0;5.8259;0;0;0;0;0;0;5.8999;0;3.9224;0;0;0;0;0;0;0;0
3-pentanol;101;1e-08;0.16;0.1653;0;0;0.09643;0;0;0;0;0.1921;0;0.05015;0;0;0;0;0;0;0;0;0
3-pentanol;101;1e-07;0.4036;0.1802;0;0;0.04085;0;0;0;0;0.1056;0;0.04243;0;0;0;0;0;0;0;0;0
3-pentanol;101;1e-06;0.7263;0.03994;0;0;0.234;0;0;0;0;0.08178;0;-0.05508;0;0;0;0;0;0;0;0;0
3-pentanol;101;1e-05;0.4354;0.1486;0;0;3.3638;0;0;0;0;0.3502;0;-0.03008;0;0;0;0;0;0;0;0;0
3-pentanol;101;0.0001;1.8964;1.7586;0;0;3.6127;0;0;0;0;1.1786;0;1.0611;0;0;0;0;0;0;0;0;0
3-pentanol;301;1e-08;0;0;0;0;0.005544;0;0;0.007921;0;0.03063;0;0.1228;0;0;0;0;0.1753;0;0;0;0.08378
3-pentanol;301;1e-07;-0.09432;-0.1027;0;0;0.005375;0.004315;0;0.08986;0;-0.2795;0;0.1004;0.05384;0;0;-0.07334;0.05864;0;0;0;-0.007891
3-pentanol;301;1e-06;-0.04617;0.02872;0;0;0.3066;-0.01776;0;0.1451;0;-0.2663;0;0.2145;0.1438;0;0;-0.07015;0.1003;0;0;0;0.007012
3-pentanol;301;1e-05;-0.008383;0.13;0;0;2.3244;0.05356;0;0.06014;0;-0.254;0;0.1718;0.2401;0;0;0.324;-0.03169;0;0;0;-0.06927
3-pentanol;301;0.0001;3.3114;1.6083;0;0;6.2739;0.4;0;0.7816;0;3.2651;0;1.3533;0.4796;0;0;0.4658;1.0006;0;0;0;1.5608
3-pentanol;401;1e-08;0.06705;0;0;0;0.09479;0;0;0;0;0.2191;0;0.5708;0;0;0;0;0;0;0;0;0.03933
3-pentanol;401;1e-07;-0.01448;0;0;0;0.3427;0;0;0;0;-0.3451;0;0.1759;0;0;0;0.01751;0;0;0;0;0.001027
3-pentanol;401;1e-06;-0.02294;0;0;0;3.2475;0;0;0;0;-0.2895;0;0.2652;0;0;0;0.05635;0;0;0;0;0.1486
3-pentanol;401;1e-05;-0.06743;0;0;0;6.1495;0;0;0;0;-0.09661;0;0.06148;0;0;0;0.05519;0;0;0;0;0.1465
3-pentanol;401;0.0001;2.9344;0;0;0;4.6935;0;0;0;0;2.1587;0;0.8876;0;0;0;0.4771;0;0;0;0;2.3075
3-pentanol;501;1e-08;0;0.0211;0;0;0.0825;0.02114;0;0.2054;0;0.06399;0.126;0;0.06125;0;0;0;0;0;0;0;0
3-pentanol;501;1e-07;0;-0.02043;0;0;-0.01649;-0.03853;0;0.1854;0;-0.2736;0.07738;0;-0.0181;0;0;0;0;0;0;0;0
3-pentanol;501;1e-06;0;0.04954;0;0;0.1521;-0.069;0;0.2264;0;-0.1386;0.04662;0;0.1217;0;0;0;0;0;0;0;0
3-pentanol;501;1e-05;0;0.06541;0;0;3.4962;0.03379;0;0.6293;0;0.467;0.08634;0;0.139;0;0;0;0;0;0;0;0
3-pentanol;501;0.0001;0;3.2001;0;0;4.7654;0.896;0;2.2381;0;3.0284;2.8396;0;2.6827;0;0;0;0;0;0;0;0
3-pentanol;601;1e-08;0;0.08428;0;0;0.1484;0.05523;0;0.03254;0;0.01889;0;0.1307;0;0;0;0;0;0;0;0;0
3-pentanol;601;1e-07;-0.09024;0.07947;0;0;0.03849;0.02242;0;0.006884;0;-0.1821;0;0.1876;0;0;0;-0.0726;0;0;0;0;0
3-pentanol;601;1e-06;-0.0984;-0.04061;0;0;0.09584;0.01683;0;-0.04914;0;-0.1251;0;0.2413;0;0;0;-0.113;0;0;0;0;0
3-pentanol;601;1e-05;-0.146;-0.02954;0;0;1.4197;-0.04328;0;-0.05921;0;0.718;0;-0.03065;0;0;0;-0.1277;0;0;0;0;0
3-pentanol;601;0.0001;1.1352;2.2223;0;0;2.542;2.3027;0;0.6784;0;1.6875;0;2.7949;0;0;0;2.3782;0;0;0;0;0
6-methyl-5-hepten-2-ol;101;1e-08;0;0;0;0.03067;0;0;0.1697;0;0;0;0.1017;0.09833;0.07276;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;101;1e-07;0;0;0;-0.1198;0;0;0.1325;0;0;0;0.1997;0.05581;0.09788;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;101;1e-06;0;0;0;0.1525;0;0;0.1492;0;0;0;0.05456;1.8911;1.0037;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;101;1e-05;0;0;0;0.7131;0;0;0.6061;0;0;0;0.09934;2.8344;5.5248;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;101;0.0001;0;0;0;2.0747;0;0;2.3751;0;0;0;0.2076;3.3138;7.1249;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;201;1e-08;0;0.1692;0;0.1041;0;0;0.102;0;0;0;0;0.03964;0.09807;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;201;1e-07;0;0.01222;0;0.1067;0;0;0.2261;0;0;0;0;0.1191;0.2149;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;201;1e-06;0;-0.02034;0;0.3133;0;0;0.2428;0;0;0;0;1.1475;0.07608;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;201;1e-05;0;-0.08132;0;2.1535;0;0;0.7562;0;0;0;0;1.6376;0.2522;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;201;0.0001;0;0.4637;0;2.911;0;0;2.2731;0;0;0;0;1.6488;1.705;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;301;1e-08;0;0;0;0.1058;0;0;0.07086;0;0;0;0.03362;0;0.0418;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;301;1e-07;0;0;0;-0.04127;0;0;0.1799;0;0;0;0.3033;0.06799;0.09244;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;301;1e-06;0;0;0;0.1556;0;0;0.1893;0;0;0;0.1265;1.1277;1.154;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;301;1e-05;0;0;0;1.8941;0;0;0.6105;0;0;0;0.1757;1.6807;1.5099;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;301;0.0001;0;0;0;2.5579;0;0;2.1296;0;0;0;0.4695;1.871;1.8102;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;401;1e-08;0;0;0;0.1271;0;0;0.0577;0;0;0;0.5552;0.4365;0.07429;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;401;1e-07;0;0;0;0.07574;0;0;0.1058;0;0;0;0.1829;0.4391;0.02076;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;401;1e-06;0;0;0;0.2332;0;0;0.2497;0;0;0;0.1518;2.2548;1.3662;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;401;1e-05;0;0;0;0.9196;0;0;0.4104;0;0;0;0.01604;5.4053;3.5249;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;401;0.0001;0;0;0;6.053;0;0;2.0484;0;0;0;-0.1085;4.7201;3.4671;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;501;1e-08;0;0.231;0;0.104;0;0;0.091;0;0;0;0;0.38;0.082;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;501;1e-07;0;0.242;0;0.058;0;0;0.143;0;0;0;0;0.294;0.11;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;501;1e-06;0;0.481;0;0.3;0;0;0.252;0;0;0;0;2.128;0.392;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;501;1e-05;0;0.3;0;0.754;0;0;0.622;0;0;0;0;4.136;1.143;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;501;0.0001;0;2.128;0;4.693;0;0;2.327;0;0;0;0;3.835;1.424;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;701;1e-08;0;0.01957;0;0.009674;0;0;0;0;0;0;0;0.09013;0.1611;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;701;1e-07;0;0.1163;0;-0.0393;0;0;0;0;0;0;0;0.01949;0.2186;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;701;1e-06;0;0.03838;0;0.09318;0;0;0;0;0;0;0;0.9213;0.4954;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;701;1e-05;0;1.9906;0;1.2434;0;0;0;0;0;0;0;4.4673;6.6925;0;0;0;0;0;0;0;0
6-methyl-5-hepten-2-ol;701;0.0001;0;7.1052;0;7.321;0;0;0;0;0;0;0;4.5504;6.4646;0;0;0;0;0;0;0;0
3-octanol;101;1e-08;0.08401;0;0;0;0;0;0.1144;0;0;0;0.2309;0.4661;0.2385;0;0;0;0;0;0;0;0
3-octanol;101;1e-07;0.2147;0;0;0.2477;0;0;0.2081;0;0;0;0.1843;2.2386;1.7835;0;0;0;0;0;0;0;0
3-octanol;101;1e-06;1.0918;0;0;0.4379;0;0;0.153;0;0;0;0.2034;2.6621;2.7578;0;0;0;0;0;0;0;0
3-octanol;101;1e-05;3.2173;0;0;0.8258;0;0;0.7125;0;0;0;0.256;2.6621;3.057;0;0;0;0;0;0;0;0
3-octanol;101;0.0001;3.2576;0;0;1.2746;0;0;1.3586;0;0;0;1.0617;2.6621;3.174;0;0;0;0;0;0;0;0
3-octanol;201;1e-08;0.009196;0.04034;0;0.0009035;0;0;0.02474;0;0;0.4552;0.008495;0.3395;0.07008;0;0;0;0;0;0;0;0
3-octanol;201;1e-07;0.05992;0.01806;0;0.001495;0;0;-0.03405;0;0;0.2748;0.05124;2.9924;0.931;0;0;0;0;0;0;0;0
3-octanol;201;1e-06;0.2082;-0.04337;0;0.04115;0;0;-0.06114;0;0;0.2061;0.008204;3.4368;6.875;0;0;0;0;0;0;0;0
3-octanol;201;1e-05;1.2028;0.1662;0;0.3403;0;0;0.003325;0;0;0.8482;0.2705;3.4368;7.9398;0;0;0;0;0;0;0;0
3-octanol;201;0.0001;4.5831;2.41;0;5.88;0;0;1.5435;0;0;2.5851;5.9789;3.4368;7.2838;0;0;0;0;0;0;0;0
3-octanol;301;1e-08;0.09703;0;0;0.1156;0;0;0.3409;0;0;0.544;0;0.0334;0.06715;0;0;0;0;0;0;0;0
3-octanol;301;1e-07;0.0755;-0.1323;0;0.02444;0;0;0.7976;0;0;0.01764;-0.02453;1.5723;0.666;0;0;0;0;0;0;0;0
3-octanol;301;1e-06;1.1362;-0.004807;0;0.1281;0;0;1.0161;0;0;0.06338;-0.1907;2.0106;2.1162;0;0;0;0;0;0;0;0
3-octanol;301;1e-05;4.8286;0.2552;0;0.4114;0;0;1.4092;0;0;0.5456;-0.1773;2.0106;4.5661;0;0;0;0;0;0;0;0
3-octanol;301;0.0001;6.1354;3.0109;0;4.8734;0;0;1.8807;0;0;0.9338;0.2396;2.0106;4.4196;0;0;0;0;0;0;0;0
3-octanol;401;1e-08;0.06831;0.07211;0;0.04415;0;0;0;0;0;0;0.06737;0.198;0.1341;0;0;0;0;0;0;0;0
3-octanol;401;1e-07;0.224;0.08671;0;0.013;0;0;0;0;0;0;0.1012;0.9775;0.5316;0;0;0;0;0;0;0;0
3-octanol;401;1e-06;0.7429;0.2086;0;0.1885;0;0;0;0;0;0;-0.2859;3.6465;2.2005;0;0;0;0;0;0;0;0
3-octanol;401;1e-05;2.5247;0.5351;0;0.3943;0;0;0;0;0;0;0.2319;4.4189;2.8461;0;0;0;0;0;0;0;0
3-octanol;401;0.0001;5.6075;1.9816;0;2.9951;0;0;0;0;0;0;0.3292;4.1846;2.7434;0;0;0;0;0;0;0;0
3-octanol;501;1e-08;0.04497;0.05487;0;0.004373;0;0;0.01432;0;0;0;0;0.1112;0.001158;0;0;0;0;0;0;0;0
3-octanol;501;1e-07;0.1078;-0.01766;0;-0.01702;0;0;-0.01271;0;0;0;0.01717;1.8226;0.00169;0;0;0;0;0;0;0;0
3-octanol;501;1e-06;-0.03182;0.01613;0;-0.002016;0;0;-0.03738;0;0;0;-0.1657;1.9326;0.2913;0;0;0;0;0;0;0;0
3-octanol;501;1e-05;0.7807;0.1321;0;-0.0135;0;0;-0.05689;0;0;0;0.05931;1.9326;5.9561;0;0;0;0;0;0;0;0
3-octanol;501;0.0001;6.0537;0.5396;0;0.3386;0;0;0.1346;0;0;0;0.05577;1.9326;6.8945;0;0;0;0;0;0;0;0
3-octanol;601;1e-08;0.3051;0.2074;0;0;0;0;0;0;0;0;0;2.1381;0.009659;0;0;0;0;0;0;0;0
3-octanol;601;1e-07;0.3851;0.1454;0;-0.03414;0;0;0;0;0;0;0;6.2974;-0.3788;0;0;0;0;0;0;0;0
3-octanol;601;1e-06;0.569;0.2339;0;-0.07085;0;0;0;0;0;0;0;5.7113;-0.1164;0;0;0;0;0;0;0;0
3-octanol;601;1e-05;4.0552;3.7265;0;-0.01051;0;0;0;0;0;0;0;5.7113;0.3195;0;0;0;0;0;0;0;0
3-octanol;601;0.0001;6.4725;7.9788;0;1.2251;0;0;0;0;0;0;0;5.7113;0.0961;0;0;0;0;0;0;0;0
3-octanol;701;1e-08;0.1247;0.05122;0;0.0199;0;0;0.03793;0;0;0;1.314;0.4875;0;0;0;0;0;0;0;0;0
3-octanol;701;1e-07;0.5863;0.4083;0;0.02815;0;0;0.804;0;0;0;0.6933;1.3979;0.3974;0;0;0;0;0;0;0;0
3-octanol;701;1e-06;0.1298;0.1174;0;0.1988;0;0;0.4936;0;0;0;0.508;1.2073;1.2292;0;0;0;0;0;0;0;0
3-octanol;701;1e-05;1.7701;1.9402;0;0.6422;0;0;1.1632;0;0;0;0.4405;1.1464;4.1685;0;0;0;0;0;0;0;0
3-octanol;701;0.0001;6.6088;6.3165;0;9.0859;0;0;4.3904;0;0;0;2.3306;1.6538;3.9888;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;101;1e-08;0;0.1429;0;0;0.0454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;101;1e-07;0;0.02685;0;0.2161;-0.002395;0;0;0;0;0;0;-0.003611;-0.08869;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;101;1e-06;0;1.2897;0;3.2935;0.06685;0;0;0;0;0;0;-0.1673;-0.1251;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;101;1e-05;0;1.8611;0;3.3696;0.2787;0;0;0;0;0;0.6282;0;1.2312;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;101;0.0001;0;3.5439;0;3.8972;3.6588;0;0;0;0;0;2.5772;0;3.5081;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;201;1e-08;0.1939;0.249;0;0.1708;0;0;0;0;0;0;0.1871;0;0.1424;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;201;1e-07;0.04668;0.1172;0;0.2676;0;0;0;0;0;0;0.1167;0;0.09636;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;201;1e-06;0.04672;0.1979;0;5.6421;0;0;0;0;0;0;0.373;0;0.336;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;201;1e-05;0.3068;0.7009;0;6.496;0;0;0;0;0;0;0.5115;0;0.4982;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;201;0.0001;3.0529;5.28;0;6.0987;0;0;0;0;0;0;5.9162;0;1.4051;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;301;1e-08;0.02418;0.1149;0;0.09558;0;0;0;0;0;0;0.2101;0;0.05065;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;301;1e-07;0.136;0.1555;0;0.3078;0;0;0;0;0;0;0.196;0;0.2932;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;301;1e-06;0.201;0.04013;0;4.6058;0;0;0;0;0;0;0.1323;0;0.08352;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;301;1e-05;0.1216;0.434;0;6.4733;0;0;0;0;0;0;1.2524;0;1.1904;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;301;0.0001;2.3705;5.5045;0;6.028;0;0;0;0;0;0;5.7952;0;5.0163;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;402;1e-08;0.1253;0;0;0.06541;0;0;0;0;0;0;0.0301;0;0.03957;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;402;1e-07;0.1491;0;0;0.2559;0;0;0;0;0;0;0.1295;0;0.05491;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;402;1e-06;0.4628;0;0;4.3262;0;0;0;0;0;0;1.2258;0;1.2802;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;402;1e-05;0.2231;0;0;6.4361;0;0;0;0;0;0;0.5965;0;1.3871;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;402;0.0001;1.7215;0;0;6.533;0;0;0;0;0;0;1.6661;0;5.0151;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;501;1e-08;0.03299;0;0;0.001985;0.08227;0;0;0;0;0;0.002736;0;0;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;501;1e-07;0.04103;0;0;0.1197;0.0789;0;0;0;0;0;-0.0297;0;-0.06544;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;501;1e-06;-0.03607;0;0;1.2733;0.09814;0;0;0;0;0;0.1469;0;0.06019;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;501;1e-05;-0.0143;0;0;3.5008;0.3264;0;0;0;0;0;1.5117;0;0.5347;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;501;0.0001;0.7789;0;0;3.1041;2.7379;0;0;0;0;0;1.5871;0;3.1165;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;601;1e-08;0;0;0;0.5795;0.0186;0;0;0;0;0;0.05586;0;0.0589;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;601;1e-07;-0.05894;0;0;0.3429;-0.08484;0;0;0;0;0;0.08456;0;0.0384;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;601;1e-06;-0.04878;0;0;2.1437;-0.04503;0;0;0;0;0;0.3979;0;0.07085;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;601;1e-05;0.6197;0;0;1.925;1.2519;0;0;0;0;0;4.1119;0;1.6016;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;601;0.0001;4.0554;0;0;1.4863;2.3219;0;0;0;0;0;7.0918;0;8.6163;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;701;1e-08;0;0;0;0.1343;0.05043;0;0;0;0;0;0.04514;0.0352;0;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;701;1e-07;0.02329;-0.08684;0;0.2088;-0.01778;0;0;0;0;0;0.02545;0.04017;-0.02105;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;701;1e-06;0.002339;-0.1578;0;1.2289;0.1296;0;0;0;0;0;0.1422;-0.08484;-0.05494;0;0;0;0;0;0;0;0
trans-3-hexen-1-ol;701;1e-05;0.02576;0.09386;0;4.0363;-0.03466;0;0;0;0;0;0.02221;0.2777;0.1995;0;0;0;0;0;0;0;0
